anio_mat,entidad_id,ent_regis,municipio_id,mun_regis,tipo_div,causa,hijos,custodia,pension,edad_mdiv1,escol_div1,con_acdiv1,sexo_div1,edad_mdiv2,escol_div2,con_acdiv2,sexo_div2
2018,13,Hidalgo,69,Tecomán,Judicial,Voluntario unilateral,2,no se otorga,Ninguno,18,No especificada,No especificada,Mujer,27,No especificada,No especificada,Hombre
2018,13,Hidalgo,69,Tecomán,Judicial,Voluntario unilateral,1,Divorciante 1,Hijos,19,Preparatoria o equivalente,No trabaja,Mujer,99,No especificada,No especificada,Hombre
2018,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,22,Secundaria o equivalente,Trabaja,Hombre,18,Sin escolaridad,No trabaja,Mujer
2018,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,21,Preparatoria o equivalente,No especificada,Hombre,19,Superior,No especificada,Mujer
2018,13,Hidalgo,69,Tecomán,Judicial,Mutuo consentimiento,1,no se otorga,Ninguno,21,Superior,No trabaja,Hombre,19,Superior,Trabaja,Mujer
2018,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,2,Divorciante 2,Hijos,23,Preparatoria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,No trabaja,Mujer
2018,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,2,Divorciante 1,Hijos,19,No especificada,No especificada,Mujer,21,No especificada,No especificada,Hombre
2018,13,Hidalgo,63,Comala,Judicial,Voluntario unilateral,2,Divorciante 2,Hijos,24,Secundaria o equivalente,Trabaja,Hombre,19,Secundaria o equivalente,No trabaja,Mujer
2018,13,Hidalgo,77,Amatenango del Valle,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,18,No especificada,No especificada,Hombre,18,No especificada,No especificada,Mujer
2019,13,Hidalgo,48,Tenabo,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Secundaria o equivalente,Trabaja,Mujer,28,Superior,Trabaja,Hombre
2019,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,28,Primaria completa,Trabaja,Hombre,18,Superior,Trabaja,Mujer
2019,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,18,Preparatoria o equivalente,No trabaja,Mujer,26,Superior,Trabaja,Hombre
2020,13,Hidalgo,76,Amatenango de la Frontera,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,21,Superior,Trabaja,Hombre,19,Carrera técnica,Trabaja,Mujer
2020,13,Hidalgo,77,Amatenango del Valle,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,20,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,No trabaja,Mujer
2015,14,Jalisco,83,Allende,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,29,Superior,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2015,14,Jalisco,46,Hopelchén,Judicial,Voluntario unilateral,2,no se otorga,Ninguno,19,No especificada,No especificada,Mujer,38,No especificada,No especificada,Hombre
2015,14,Jalisco,22,Mexicali,Judicial,Mutuo consentimiento,2,Divorciante 2,Hijos,22,Superior,Trabaja,Hombre,19,Carrera técnica,Trabaja,Mujer
2015,14,Jalisco,85,Ascensión,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Secundaria o equivalente,Trabaja,Mujer,22,Secundaria o equivalente,Trabaja,Hombre
2015,14,Jalisco,83,Allende,Judicial,Mutuo consentimiento,1,Divorciante 2,Hijos,21,Preparatoria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2015,14,Jalisco,13,Calvillo,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,18,Secundaria o equivalente,Trabaja,Mujer,19,Preparatoria o equivalente,Trabaja,Hombre
2015,14,Jalisco,110,El Llano,Judicial,Mutuo consentimiento,0,no se otorga,Ninguno,25,Secundaria o equivalente,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2015,14,Jalisco,67,Manzanillo,Judicial,Voluntario unilateral,1,Divorciante 2,Hijos,19,No especificada,Trabaja,Hombre,18,No especificada,No especificada,Mujer
2015,14,Jalisco,23,Tecate,Judicial,Mutuo consentimiento,1,Divorciante 1,Hijos,19,Secundaria o equivalente,Trabaja,Mujer,19,Superior,Trabaja,Hombre
2015,14,Jalisco,24,Tijuana,Judicial,Voluntario unilateral,0,no se otorga,Ninguno,19,Secundaria o equivalente,No trabaja,Mujer,19,Secundaria o equivalente,Trabaja,Hombre
2015,14,Jalisco,67,Manzanillo,Judicial,Mutuo consentimiento,2,Divorciante 2,Hijos,20,Superior,Trabaja,Hombre,19,Preparatoria o equivalente,Trabaja,Mujer
2015,14,Jalisco,18,San José de Gracia,Judicial,Incompatibilidad de caracteres,1,Divorciante 1,Hijos,18,Secundaria o equivalente,No trabaja,Mujer,19,Secundaria o equivalente,Trabaja,Hombre
